CC(=O)N([Lu])c1noc2c1CCCC2=[Hf] [0Lu] 1.single.ism [0Hf] 1.double.ism
CC(=O)Nc1noc2c1CCCC2([W])[W] [0W] 2.spiro.ism
CC(=O)Nc1noc2c1CCCC2([Lu])[1Lu] [0Lu] 1.single.ism [1Lu] 1.single.ism
CC(=O)Nc1noc2c1C(=[Hf])C([Lu])CC2 [0Hf] 1.double.ism [0Lu] 1.single.ism
CC(=O)Nc1noc2c1C(=[Hf])CCC2 [0Hf] 2.double.ism
O=C(Nc1noc2c1CCCC2)C([Lu])[1Lu] [0Lu] 1.single.ism [1Lu] 1.single.ism
O=C(C[Lu])Nc1noc2c1CCCC2[1Lu] [0Lu] 1.single.ism [1Lu] 1.single.ism
CC(=O)Nc1noc2c1C([Lu])C(=[Hf])CC2 [0Lu] 1.single.ism [0Hf] 1.double.ism
O=C(C#[Ta])Nc1noc2c1CC([Lu])CC2 [0Ta] 1.triple.ism [0Lu] 1.single.ism
CC(=O)Nc1noc2c1C([Lu])([Re])C([Re])CC2 [0Lu] 1.single.ism [0Re] 1.single_fusion.ism
CC(=O)Nc1noc2c1CC([Lu])C([Re])C2[Re] [0Lu] 1.single.ism [0Re] 1.single_fusion.ism
CC(=O)Nc1noc2c1C([Re])C([Re])C([Lu])C2 [0Lu] 1.single.ism [0Re] 1.single_fusion.ism
O=C(C#[Ta])Nc1noc2c1C([Lu])CCC2 [0Ta] 1.triple.ism [0Lu] 1.single.ism
CC(=O)N([Lu])c1noc2c1CC([Re])C([Re])C2 [0Lu] 1.single.ism [0Re] 1.single_fusion.ism
CC(=O)Nc1noc2c1CC([Lu])([1Lu])CC2 [0Lu] 1.single.ism [1Lu] 1.single.ism
CC(=O)Nc1noc2c1C([Lu])([1Lu])CCC2 [0Lu] 1.single.ism [1Lu] 1.single.ism
CC(=O)Nc1noc2c1CCC([W])([W])C2 [0W] 2.spiro.ism
CC(=O)Nc1noc2c1CC([Re])C([Lu])([Re])C2 [0Lu] 1.single.ism [0Re] 1.single_fusion.ism
CC(=O)Nc1noc2c1C([W])([W])CCC2 [0W] 2.spiro.ism
CC(=O)Nc1noc2c1C([1Lu])C([Lu])CC2 [1Lu] 1.single.ism [0Lu] 1.single.ism
CC(=O)Nc1noc2c1C([Re])C([Re])CC2[Lu] [0Lu] 1.single.ism [0Re] 1.single_fusion.ism
O=C(C[Lu])N([1Lu])c1noc2c1CCCC2 [0Lu] 1.single.ism [1Lu] 1.single.ism
CC(=O)Nc1noc2c1CCC(=[Hf])C2 [0Hf] 2.double.ism
CC(=O)Nc1noc2c1C([Re])C([Re])CC2=[Hf] [0Hf] 1.double.ism [0Re] 1.single_fusion.ism
O=C(C#[Ta])Nc1noc2c1CCCC2[Lu] [0Ta] 1.triple.ism [0Lu] 1.single.ism
